Agência Executiva de Gestão das Águas do Estado da Paraíba
Dados hidrológicos exportado em 13 de junho de 2025 às 11h24


Data de coleta;Volume (%);Volume (m³);Afluência/defluência
20/02/2024;3,01;1.352.580,00;-
20/02/2024;3,01;1.352.580,00;-
21/02/2024;3,05;1.368.440,00;15.860,00
21/02/2024;3,05;1.368.440,00;-
22/02/2024;3,07;1.376.370,00;7.930,00
22/02/2024;3,07;1.376.370,00;-
23/02/2024;3,07;1.376.370,00;-
23/02/2024;3,07;1.376.370,00;-
24/02/2024;3,07;1.376.370,00;-
24/02/2024;3,07;1.376.370,00;-
25/02/2024;3,07;1.376.370,00;-
25/02/2024;3,07;1.376.370,00;-
26/02/2024;3,05;1.368.440,00;-7.930,00
26/02/2024;3,05;1.368.440,00;-
27/02/2024;3,05;1.368.440,00;-
27/02/2024;3,05;1.368.440,00;-
28/02/2024;3,59;1.609.110,00;240.670,00
28/02/2024;3,59;1.609.110,00;-
29/02/2024;4,08;1.831.290,00;222.180,00
29/02/2024;4,08;1.831.290,00;-
01/03/2024;4,08;1.831.290,00;-
01/03/2024;4,08;1.831.290,00;-
02/03/2024;4,08;1.831.290,00;-
02/03/2024;4,08;1.831.290,00;-
03/03/2024;4,08;1.831.290,00;-
03/03/2024;4,08;1.831.290,00;-
04/03/2024;4,08;1.831.290,00;-
04/03/2024;4,08;1.831.290,00;-
05/03/2024;4,05;1.818.950,00;-12.340,00
05/03/2024;4,05;1.818.950,00;-
06/03/2024;4,05;1.818.950,00;-
06/03/2024;4,05;1.818.950,00;-
07/03/2024;4,03;1.806.610,00;-12.340,00
07/03/2024;4,03;1.806.610,00;-
08/03/2024;4,00;1.794.260,00;-12.350,00
08/03/2024;4,00;1.794.260,00;-
09/03/2024;3,97;1.781.920,00;-12.340,00
09/03/2024;3,97;1.781.920,00;-
10/03/2024;3,94;1.769.580,00;-12.340,00
10/03/2024;3,94;1.769.580,00;-
11/03/2024;3,97;1.781.920,00;12.340,00
11/03/2024;3,97;1.781.920,00;-
12/03/2024;3,94;1.769.580,00;-12.340,00
12/03/2024;3,94;1.769.580,00;-
13/03/2024;6,28;2.816.030,00;1.046.450,00
13/03/2024;6,28;2.816.030,00;-
14/03/2024;7,96;3.569.490,00;753.460,00
14/03/2024;7,96;3.569.490,00;-
15/03/2024;8,27;3.709.670,00;140.180,00
15/03/2024;8,27;3.709.670,00;-
16/03/2024;8,46;3.797.290,00;87.620,00
16/03/2024;8,46;3.797.290,00;-
17/03/2024;8,58;3.849.860,00;52.570,00
17/03/2024;8,58;3.849.860,00;-
18/03/2024;8,78;3.937.470,00;87.610,00
18/03/2024;8,78;3.937.470,00;-
19/03/2024;8,82;3.954.990,00;17.520,00
19/03/2024;8,82;3.954.990,00;-
20/03/2024;8,82;3.954.990,00;-
20/03/2024;8,82;3.954.990,00;-
21/03/2024;8,82;3.954.990,00;-
21/03/2024;8,82;3.954.990,00;-
22/03/2024;8,78;3.937.470,00;-17.520,00
22/03/2024;8,78;3.937.470,00;-
23/03/2024;8,74;3.919.940,00;-17.530,00
23/03/2024;8,74;3.919.940,00;-
24/03/2024;8,70;3.902.420,00;-17.520,00
24/03/2024;8,70;3.902.420,00;-
25/03/2024;8,66;3.884.900,00;-17.520,00
25/03/2024;8,66;3.884.900,00;-
26/03/2024;8,62;3.867.380,00;-17.520,00
26/03/2024;8,62;3.867.380,00;-
27/03/2024;8,66;3.884.900,00;17.520,00
27/03/2024;8,66;3.884.900,00;-
28/03/2024;8,62;3.867.380,00;-17.520,00
28/03/2024;8,62;3.867.380,00;-
29/03/2024;8,62;3.867.380,00;-
29/03/2024;8,62;3.867.380,00;-
30/03/2024;8,62;3.867.380,00;-
30/03/2024;8,62;3.867.380,00;-
31/03/2024;8,62;3.867.380,00;-
31/03/2024;8,62;3.867.380,00;-
01/04/2024;8,66;3.884.900,00;17.520,00
01/04/2024;8,66;3.884.900,00;-
02/04/2024;8,74;3.919.940,00;35.040,00
02/04/2024;8,74;3.919.940,00;-
03/04/2024;8,70;3.902.420,00;-17.520,00
03/04/2024;8,70;3.902.420,00;-
04/04/2024;8,74;3.919.940,00;17.520,00
04/04/2024;8,74;3.919.940,00;-
05/04/2024;8,70;3.902.420,00;-17.520,00
05/04/2024;8,70;3.902.420,00;-
06/04/2024;8,70;3.902.420,00;-
06/04/2024;8,70;3.902.420,00;-
07/04/2024;8,66;3.884.900,00;-17.520,00
07/04/2024;8,66;3.884.900,00;-
08/04/2024;8,62;3.867.380,00;-17.520,00
08/04/2024;8,62;3.867.380,00;-
09/04/2024;8,70;3.902.420,00;35.040,00
09/04/2024;8,70;3.902.420,00;-
10/04/2024;8,74;3.919.940,00;17.520,00
10/04/2024;8,74;3.919.940,00;-
11/04/2024;8,70;3.902.420,00;-17.520,00
11/04/2024;8,70;3.902.420,00;-
12/04/2024;8,70;3.902.420,00;-
12/04/2024;8,70;3.902.420,00;-
13/04/2024;8,70;3.902.420,00;-
13/04/2024;8,70;3.902.420,00;-
14/04/2024;8,66;3.884.900,00;-17.520,00
14/04/2024;8,66;3.884.900,00;-
15/04/2024;8,66;3.884.900,00;-
15/04/2024;8,66;3.884.900,00;-
16/04/2024;8,66;3.884.900,00;-
16/04/2024;8,66;3.884.900,00;-
17/04/2024;8,85;3.972.510,00;87.610,00
17/04/2024;8,85;3.972.510,00;-
18/04/2024;8,89;3.990.040,00;17.530,00
18/04/2024;8,89;3.990.040,00;-
19/04/2024;8,93;4.007.560,00;17.520,00
19/04/2024;8,93;4.007.560,00;-
20/04/2024;8,93;4.007.560,00;-
20/04/2024;8,93;4.007.560,00;-
21/04/2024;8,97;4.025.080,00;17.520,00
21/04/2024;8,97;4.025.080,00;-
22/04/2024;8,97;4.025.080,00;-
22/04/2024;8,97;4.025.080,00;-
23/04/2024;8,93;4.007.560,00;-17.520,00
23/04/2024;8,93;4.007.560,00;-
24/04/2024;8,93;4.007.560,00;-
24/04/2024;8,93;4.007.560,00;-
25/04/2024;8,89;3.990.040,00;-17.520,00
25/04/2024;8,89;3.990.040,00;-
26/04/2024;8,89;3.990.040,00;-
26/04/2024;8,89;3.990.040,00;-
27/04/2024;8,93;4.007.560,00;17.520,00
27/04/2024;8,93;4.007.560,00;-
28/04/2024;8,93;4.007.560,00;-
28/04/2024;8,93;4.007.560,00;-
29/04/2024;8,93;4.007.560,00;-
29/04/2024;8,93;4.007.560,00;-
30/04/2024;8,93;4.007.560,00;-
30/04/2024;8,93;4.007.560,00;-
01/05/2024;8,93;4.007.560,00;-
01/05/2024;8,93;4.007.560,00;-
02/05/2024;8,85;3.972.510,00;-35.050,00
02/05/2024;8,85;3.972.510,00;-
03/05/2024;8,82;3.954.990,00;-17.520,00
03/05/2024;8,82;3.954.990,00;-
04/05/2024;8,78;3.937.470,00;-17.520,00
04/05/2024;8,78;3.937.470,00;-
05/05/2024;8,74;3.919.940,00;-17.530,00
05/05/2024;8,74;3.919.940,00;-
06/05/2024;8,74;3.919.940,00;-
06/05/2024;8,74;3.919.940,00;-
07/05/2024;8,74;3.919.940,00;-
07/05/2024;8,74;3.919.940,00;-
08/05/2024;8,74;3.919.940,00;-
08/05/2024;8,74;3.919.940,00;-
09/05/2024;8,74;3.919.940,00;-
09/05/2024;8,74;3.919.940,00;-
10/05/2024;8,74;3.919.940,00;-
10/05/2024;8,74;3.919.940,00;-
11/05/2024;8,70;3.902.420,00;-17.520,00
11/05/2024;8,70;3.902.420,00;-
12/05/2024;8,70;3.902.420,00;-
12/05/2024;8,70;3.902.420,00;-
13/05/2024;8,66;3.884.900,00;-17.520,00
13/05/2024;8,66;3.884.900,00;-
14/05/2024;8,62;3.867.380,00;-17.520,00
14/05/2024;8,62;3.867.380,00;-
15/05/2024;8,58;3.849.860,00;-17.520,00
15/05/2024;8,58;3.849.860,00;-
16/05/2024;8,62;3.867.380,00;17.520,00
16/05/2024;8,62;3.867.380,00;-
17/05/2024;8,66;3.884.900,00;17.520,00
17/05/2024;8,66;3.884.900,00;-
18/05/2024;8,74;3.919.940,00;35.040,00
18/05/2024;8,74;3.919.940,00;-
19/05/2024;8,70;3.902.420,00;-17.520,00
19/05/2024;8,70;3.902.420,00;-
20/05/2024;8,70;3.902.420,00;-
20/05/2024;8,70;3.902.420,00;-
21/05/2024;8,70;3.902.420,00;-
21/05/2024;8,70;3.902.420,00;-
22/05/2024;8,66;3.884.900,00;-17.520,00
22/05/2024;8,66;3.884.900,00;-
23/05/2024;8,66;3.884.900,00;-
23/05/2024;8,66;3.884.900,00;-
24/05/2024;8,66;3.884.900,00;-
24/05/2024;8,66;3.884.900,00;-
25/05/2024;8,62;3.867.380,00;-17.520,00
25/05/2024;8,62;3.867.380,00;-
26/05/2024;8,58;3.849.860,00;-17.520,00
26/05/2024;8,58;3.849.860,00;-
27/05/2024;8,54;3.832.330,00;-17.530,00
27/05/2024;8,54;3.832.330,00;-
28/05/2024;8,50;3.814.810,00;-17.520,00
28/05/2024;8,50;3.814.810,00;-
29/05/2024;8,50;3.814.810,00;-
29/05/2024;8,50;3.814.810,00;-
30/05/2024;8,46;3.797.290,00;-17.520,00
30/05/2024;8,46;3.797.290,00;-
31/05/2024;8,42;3.779.770,00;-17.520,00
31/05/2024;8,42;3.779.770,00;-
01/06/2024;8,39;3.762.240,00;-17.530,00
01/06/2024;8,39;3.762.240,00;-
02/06/2024;8,39;3.762.240,00;-
02/06/2024;8,39;3.762.240,00;-
03/06/2024;8,35;3.744.720,00;-17.520,00
03/06/2024;8,35;3.744.720,00;-
04/06/2024;8,35;3.744.720,00;-
04/06/2024;8,35;3.744.720,00;-
05/06/2024;8,35;3.744.720,00;-
05/06/2024;8,35;3.744.720,00;-
06/06/2024;8,31;3.727.200,00;-17.520,00
06/06/2024;8,31;3.727.200,00;-
07/06/2024;8,27;3.709.670,00;-17.530,00
07/06/2024;8,27;3.709.670,00;-
08/06/2024;8,27;3.709.670,00;-
08/06/2024;8,27;3.709.670,00;-
09/06/2024;8,23;3.692.150,00;-17.520,00
09/06/2024;8,23;3.692.150,00;-
10/06/2024;8,19;3.674.630,00;-17.520,00
10/06/2024;8,19;3.674.630,00;-
11/06/2024;8,19;3.674.630,00;-
11/06/2024;8,19;3.674.630,00;-
12/06/2024;8,15;3.657.110,00;-17.520,00
12/06/2024;8,15;3.657.110,00;-
13/06/2024;8,15;3.657.110,00;-
13/06/2024;8,15;3.657.110,00;-
14/06/2024;8,11;3.639.590,00;-17.520,00
14/06/2024;8,11;3.639.590,00;-
15/06/2024;8,07;3.622.060,00;-17.530,00
15/06/2024;8,07;3.622.060,00;-
16/06/2024;8,03;3.604.540,00;-17.520,00
16/06/2024;8,03;3.604.540,00;-
17/06/2024;8,03;3.604.540,00;-
17/06/2024;8,03;3.604.540,00;-
19/06/2024;8,00;3.587.020,00;-17.520,00
19/06/2024;8,00;3.587.020,00;-
20/06/2024;7,96;3.569.490,00;-17.530,00
20/06/2024;7,96;3.569.490,00;-
24/06/2024;7,92;3.551.970,00;-17.520,00
24/06/2024;7,92;3.551.970,00;-
30/06/2024;7,88;3.534.450,00;-17.520,00
30/06/2024;7,88;3.534.450,00;-
01/07/2024;7,84;3.516.930,00;-17.520,00
01/07/2024;7,84;3.516.930,00;-
02/07/2024;7,80;3.499.410,00;-17.520,00
02/07/2024;7,80;3.499.410,00;-
03/07/2024;7,76;3.481.880,00;-17.530,00
03/07/2024;7,76;3.481.880,00;-
04/07/2024;7,72;3.464.360,00;-17.520,00
04/07/2024;7,72;3.464.360,00;-
07/07/2024;7,76;3.481.880,00;17.520,00
07/07/2024;7,76;3.481.880,00;-
08/07/2024;7,72;3.464.360,00;-17.520,00
08/07/2024;7,72;3.464.360,00;-
09/07/2024;7,72;3.464.360,00;-
09/07/2024;7,72;3.464.360,00;-
10/07/2024;7,68;3.446.840,00;-17.520,00
10/07/2024;7,68;3.446.840,00;-
11/07/2024;7,64;3.429.310,00;-17.530,00
11/07/2024;7,64;3.429.310,00;-
14/07/2024;7,57;3.394.270,00;-35.040,00
14/07/2024;7,57;3.394.270,00;-
15/07/2024;7,57;3.394.270,00;-
15/07/2024;7,57;3.394.270,00;-
16/07/2024;7,53;3.376.750,00;-17.520,00
16/07/2024;7,53;3.376.750,00;-
18/07/2024;7,49;3.359.230,00;-17.520,00
18/07/2024;7,49;3.359.230,00;-
21/07/2024;7,41;3.324.180,00;-35.050,00
21/07/2024;7,41;3.324.180,00;-
22/07/2024;7,37;3.306.660,00;-17.520,00
22/07/2024;7,37;3.306.660,00;-
23/07/2024;7,33;3.289.130,00;-17.530,00
23/07/2024;7,33;3.289.130,00;-
24/07/2024;7,33;3.289.130,00;-
24/07/2024;7,33;3.289.130,00;-
25/07/2024;7,29;3.271.610,00;-17.520,00
25/07/2024;7,29;3.271.610,00;-
28/07/2024;7,21;3.236.570,00;-35.040,00
28/07/2024;7,21;3.236.570,00;-
29/07/2024;7,21;3.236.570,00;-
29/07/2024;7,21;3.236.570,00;-
31/07/2024;7,10;3.184.000,00;-52.570,00
31/07/2024;7,10;3.184.000,00;-
04/08/2024;7,02;3.148.960,00;-35.040,00
04/08/2024;7,02;3.148.960,00;-
05/08/2024;6,98;3.131.430,00;-17.530,00
05/08/2024;6,98;3.131.430,00;-
06/08/2024;6,94;3.113.910,00;-17.520,00
06/08/2024;6,94;3.113.910,00;-
07/08/2024;6,90;3.096.390,00;-17.520,00
07/08/2024;6,90;3.096.390,00;-
08/08/2024;6,86;3.078.860,00;-17.530,00
08/08/2024;6,86;3.078.860,00;-
11/08/2024;6,78;3.043.820,00;-35.040,00
11/08/2024;6,78;3.043.820,00;-
12/08/2024;6,75;3.026.300,00;-17.520,00
12/08/2024;6,75;3.026.300,00;-
13/08/2024;6,71;3.008.780,00;-17.520,00
13/08/2024;6,71;3.008.780,00;-
14/08/2024;6,67;2.991.250,00;-17.530,00
14/08/2024;6,67;2.991.250,00;-
15/08/2024;6,63;2.973.730,00;-17.520,00
15/08/2024;6,63;2.973.730,00;-
18/08/2024;6,51;2.921.160,00;-52.570,00
18/08/2024;6,51;2.921.160,00;-
19/08/2024;6,47;2.903.640,00;-17.520,00
19/08/2024;6,47;2.903.640,00;-
20/08/2024;6,43;2.886.120,00;-17.520,00
20/08/2024;6,43;2.886.120,00;-
22/08/2024;6,39;2.868.600,00;-17.520,00
22/08/2024;6,39;2.868.600,00;-
25/08/2024;6,28;2.816.030,00;-52.570,00
25/08/2024;6,28;2.816.030,00;-
26/08/2024;6,24;2.798.500,00;-17.530,00
26/08/2024;6,24;2.798.500,00;-
27/08/2024;6,20;2.780.980,00;-17.520,00
27/08/2024;6,20;2.780.980,00;-
28/08/2024;6,16;2.763.460,00;-17.520,00
28/08/2024;6,16;2.763.460,00;-
29/08/2024;6,12;2.745.940,00;-17.520,00
29/08/2024;6,12;2.745.940,00;-
31/08/2024;6,00;2.693.370,00;-52.570,00
31/08/2024;6,00;2.693.370,00;-
01/09/2024;6,00;2.693.370,00;-
01/09/2024;6,00;2.693.370,00;-
02/09/2024;5,96;2.675.850,00;-17.520,00
02/09/2024;5,96;2.675.850,00;-
03/09/2024;5,96;2.675.850,00;-
03/09/2024;5,96;2.675.850,00;-
04/09/2024;5,93;2.658.325,00;-17.525,00
04/09/2024;5,93;2.658.325,00;-
05/09/2024;5,93;2.658.325,00;-
05/09/2024;5,93;2.658.325,00;-
06/09/2024;5,90;2.645.980,00;-12.345,00
06/09/2024;5,90;2.645.980,00;-
07/09/2024;5,87;2.633.640,00;-12.340,00
07/09/2024;5,87;2.633.640,00;-
08/09/2024;5,87;2.633.640,00;-
08/09/2024;5,87;2.633.640,00;-
09/09/2024;5,84;2.621.290,00;-12.350,00
09/09/2024;5,84;2.621.290,00;-
10/09/2024;5,82;2.608.950,00;-12.340,00
10/09/2024;5,82;2.608.950,00;-
11/09/2024;5,82;2.608.950,00;-
11/09/2024;5,82;2.608.950,00;-
12/09/2024;5,90;2.645.980,00;37.030,00
12/09/2024;5,90;2.645.980,00;-
13/09/2024;5,87;2.633.640,00;-12.340,00
13/09/2024;5,87;2.633.640,00;-
14/09/2024;5,84;2.621.290,00;-12.350,00
14/09/2024;5,84;2.621.290,00;-
15/09/2024;5,84;2.621.290,00;-
15/09/2024;5,84;2.621.290,00;-
16/09/2024;5,82;2.608.950,00;-12.340,00
16/09/2024;5,82;2.608.950,00;-
17/09/2024;5,79;2.596.610,00;-12.340,00
17/09/2024;5,79;2.596.610,00;-
18/09/2024;5,79;2.596.610,00;-
18/09/2024;5,79;2.596.610,00;-
19/09/2024;5,76;2.584.260,00;-12.350,00
19/09/2024;5,76;2.584.260,00;-
20/09/2024;5,73;2.571.920,00;-12.340,00
20/09/2024;5,73;2.571.920,00;-
21/09/2024;5,71;2.559.580,00;-12.340,00
21/09/2024;5,71;2.559.580,00;-
22/09/2024;5,68;2.547.230,00;-12.350,00
22/09/2024;5,68;2.547.230,00;-
23/09/2024;5,65;2.534.890,00;-12.340,00
23/09/2024;5,65;2.534.890,00;-
24/09/2024;5,62;2.522.540,00;-12.350,00
24/09/2024;5,62;2.522.540,00;-
25/09/2024;5,57;2.497.860,00;-24.680,00
25/09/2024;5,57;2.497.860,00;-
26/09/2024;5,51;2.473.170,00;-24.690,00
26/09/2024;5,51;2.473.170,00;-
27/09/2024;5,49;2.460.830,00;-12.340,00
27/09/2024;5,49;2.460.830,00;-
28/09/2024;5,46;2.448.480,00;-12.350,00
28/09/2024;5,46;2.448.480,00;-
29/09/2024;5,43;2.436.140,00;-12.340,00
29/09/2024;5,43;2.436.140,00;-
30/09/2024;5,35;2.399.110,00;-37.030,00
30/09/2024;5,35;2.399.110,00;-
01/10/2024;5,32;2.386.760,00;-12.350,00
01/10/2024;5,32;2.386.760,00;-
02/10/2024;5,29;2.374.420,00;-12.340,00
02/10/2024;5,29;2.374.420,00;-
03/10/2024;5,26;2.362.080,00;-12.340,00
03/10/2024;5,26;2.362.080,00;-
04/10/2024;5,24;2.349.730,00;-12.350,00
04/10/2024;5,24;2.349.730,00;-
05/10/2024;5,21;2.337.390,00;-12.340,00
05/10/2024;5,21;2.337.390,00;-
06/10/2024;5,18;2.325.040,00;-12.350,00
06/10/2024;5,18;2.325.040,00;-
07/10/2024;5,15;2.312.700,00;-12.340,00
07/10/2024;5,15;2.312.700,00;-
08/10/2024;5,10;2.288.010,00;-24.690,00
08/10/2024;5,10;2.288.010,00;-
09/10/2024;5,07;2.275.670,00;-12.340,00
09/10/2024;5,07;2.275.670,00;-
10/10/2024;5,04;2.263.330,00;-12.340,00
10/10/2024;5,04;2.263.330,00;-
11/10/2024;5,02;2.250.980,00;-12.350,00
11/10/2024;5,02;2.250.980,00;-
12/10/2024;4,99;2.238.640,00;-12.340,00
12/10/2024;4,99;2.238.640,00;-
13/10/2024;4,93;2.213.950,00;-24.690,00
13/10/2024;4,93;2.213.950,00;-
14/10/2024;4,91;2.201.610,00;-12.340,00
14/10/2024;4,91;2.201.610,00;-
15/10/2024;4,85;2.176.920,00;-24.690,00
15/10/2024;4,85;2.176.920,00;-
16/10/2024;4,82;2.164.570,00;-12.350,00
16/10/2024;4,82;2.164.570,00;-
17/10/2024;4,80;2.152.230,00;-12.340,00
17/10/2024;4,80;2.152.230,00;-
18/10/2024;4,77;2.139.890,00;-12.340,00
18/10/2024;4,77;2.139.890,00;-
19/10/2024;4,74;2.127.540,00;-12.350,00
19/10/2024;4,74;2.127.540,00;-
20/10/2024;4,69;2.102.860,00;-24.680,00
20/10/2024;4,69;2.102.860,00;-
21/10/2024;4,66;2.090.510,00;-12.350,00
21/10/2024;4,66;2.090.510,00;-
22/10/2024;4,63;2.078.170,00;-12.340,00
22/10/2024;4,63;2.078.170,00;-
23/10/2024;4,60;2.065.820,00;-12.350,00
23/10/2024;4,60;2.065.820,00;-
24/10/2024;4,58;2.053.480,00;-12.340,00
24/10/2024;4,58;2.053.480,00;-
25/10/2024;4,55;2.041.140,00;-12.340,00
25/10/2024;4,55;2.041.140,00;-
26/10/2024;4,52;2.028.790,00;-12.350,00
26/10/2024;4,52;2.028.790,00;-
27/10/2024;4,47;2.004.110,00;-24.680,00
27/10/2024;4,47;2.004.110,00;-
28/10/2024;4,44;1.991.760,00;-12.350,00
28/10/2024;4,44;1.991.760,00;-
29/10/2024;4,41;1.979.420,00;-12.340,00
29/10/2024;4,41;1.979.420,00;-
30/10/2024;4,38;1.967.070,00;-12.350,00
30/10/2024;4,38;1.967.070,00;-
31/10/2024;4,36;1.954.730,00;-12.340,00
31/10/2024;4,36;1.954.730,00;-
01/11/2024;4,30;1.930.040,00;-24.690,00
01/11/2024;4,30;1.930.040,00;-
02/11/2024;4,25;1.905.360,00;-24.680,00
02/11/2024;4,25;1.905.360,00;-
03/11/2024;4,19;1.880.670,00;-24.690,00
03/11/2024;4,19;1.880.670,00;-
04/11/2024;4,16;1.868.320,00;-12.350,00
04/11/2024;4,16;1.868.320,00;-
05/11/2024;4,11;1.843.640,00;-24.680,00
05/11/2024;4,11;1.843.640,00;-
06/11/2024;4,05;1.818.950,00;-24.690,00
06/11/2024;4,05;1.818.950,00;-
07/11/2024;4,03;1.806.610,00;-12.340,00
07/11/2024;4,03;1.806.610,00;-
08/11/2024;4,00;1.794.260,00;-12.350,00
08/11/2024;4,00;1.794.260,00;-
09/11/2024;3,97;1.781.920,00;-12.340,00
09/11/2024;3,97;1.781.920,00;-
10/11/2024;3,94;1.769.580,00;-12.340,00
10/11/2024;3,94;1.769.580,00;-
11/11/2024;3,89;1.744.890,00;-24.690,00
11/11/2024;3,89;1.744.890,00;-
